country,partyfacts_id,name_short,ches_short,ches_id,ches_left_right,ches_eu_integration,ches_gal_tan,ches_economy,ches_redistribute
LVA,741,LSDSP,LSDSP,2408,2.25,5.5,6,2.25,1.25
LVA,3193,NsL,NSL,2413,5.14,4.22,7.71,4.86,4.83
LVA,176,PCTVL,PCTVL; LKS,2402,2.27,4.3,7,3.2,2.78
LVA,1056,SC,SC; SDPS,2410,3.45,5.55,6.27,4,3.09
LVA,1704,TB/LNNK,TB-LNNK; NA,2406,8.45,4.73,8.09,6.09,6.27
LVA,1755,TP,TP,2403,7.25,6.5,5.75,7.75,8.25
LVA,852,V,V,2412,6.91,6.8,4.82,7.18,6.91
LVA,1476,ZRP,ZRP,2411,6.38,6,5.14,6.67,5.78
LVA,701,ZZS,ZZS,2405,5.82,4.82,7.64,5.45,5.73
MKD,3973,ally,,,,,,,
MKD,8840,BM,,,,,,,
MKD,431,DPA,,,,,,,
MKD,1220,DUI,,,,,,,
MLT,808,MLP,PL,3701,6.14,6.14,2,6.43,3.71
MLT,699,PN,PN,3702,6.14,6.57,6.57,6.43,3.57
MNE,3255,BS,,,,,,,
MNE,3162,DPS,,,,,,,
MNE,4768,LPCG,,,,,,,
MNE,3252,NOVA,,,,,,,
MNE,4767,PCG,,,,,,,
MNE,4766,PzP,,,,,,,
MNE,3185,SDPCG,,,,,,,
MNE,3104,SNP-CG,,,,,,,
NLD,714,50+,50PLUS,1020,5.08,3.86,5.6,4.45,4.4
NLD,1472,CD,CD,1009,9.38,1.44,9.25,8.57,
NLD,1157,CDA,CDA,1001,6.85,5.33,7.15,6.69,6
NLD,1459,CU,CU,1016,5.08,4,8.15,4.31,4.18
NLD,45,D66,D66,1004,5.15,6.92,1.38,6.23,5.75
NLD,5856,DENK,Denk,1050,4.36,4.67,7.55,3.5,3.12
NLD,5855,FvD,FvD,1051,9.54,1.08,8.33,9.08,8.67
NLD,1537,GL,GL,1005,2.31,6.46,0.85,2.38,2.18
NLD,1602,GPV,GPV,1007,6.7,3.18,8.64,5.8,
NLD,1528,LPF,LPF,1015,8.38,2.78,5.44,8.11,
NLD,1234,PvdA,PvdA,1002,3.62,5.92,3.08,3.62,2.83
NLD,1467,PvdD,PvdD,1018,2.38,2.64,2.92,3.18,3.11
NLD,298,PVV,PVV,1017,8.69,1.31,7.23,6.46,5.83
NLD,172,RPF,RPF,1008,6.8,3.36,8.55,6,
NLD,1178,SGP,SGP,1006,8.54,2.92,9.92,7.17,7.17
NLD,1363,SP,SP,1014,1.38,2.83,4.31,1.38,0.75
NLD,828,VVD,VVD,1003,7.62,5.08,5,8.15,8.25
NOR,448,DNA,,,,,,,
NOR,101,FrP,,,,,,,
NOR,503,H,,,,,,,
NOR,705,KrF,,,,,,,
NOR,1963,MDG,,,,,,,
NOR,44,RV,,,,,,,
NOR,1072,Sp/Bp,,,,,,,
NOR,719,SV,,,,,,,
NOR,1173,V,,,,,,,
POL,863,AWS,AWSP,2608,7.75,5.38,7.5,4.38,
POL,4631,K,Kukiz,2617,7.11,3.11,7.61,6.75,5.38
POL,4713,KNP,KNP,2614,9.53,1.06,8.82,9.59,9.59
POL,4629,KORWIN,Korwin,2619,9.53,1.37,9.53,9.06,8.06
POL,1768,LPR,LPR,2607,9.25,1.67,9.54,3.5,3.5
POL,4630,N,Novo,2618,5.16,6.95,2.61,7.67,6.72
POL,1566,PD,UW; PD,2609,4.5,6.83,1.17,7.4,7.5
POL,1565,PiS,PiS,2605,7.55,2.95,9.14,2.95,1.75
POL,1117,PO,PO,2603,5.38,6.67,4.67,6.57,5.9
POL,2992,PR,PR,2615,7.65,4,7.69,6.67,6.4
POL,602,PSL,PSL,2606,5.29,5.14,7.1,4.33,3.45
POL,4871,Razem,Razem,2620,1.28,6.56,1.22,1.29,1.47
POL,731,RP / TR,RP,2613,2.53,6.71,1.18,4.19,4.13
POL,919,SD,SD,2612,4.67,6.67,3.67,6.25,6.43
POL,1328,SDPL,SDPL,2611,2.67,6.71,2.25,3.42,3.33
POL,57,SLD,SLD,2601,3.38,6.57,3.57,3.9,3.35
POL,328,SP,SP,2616,8.29,3,8.65,3.38,3.25
POL,7356,Spr,Wiosnia,2621,1.89,6.89,0.84,3.5,2.67
POL,727,SRP,S,2604,4.64,3.27,7.75,2.67,1.91
POL,1104,UP,UP,2602,3,6.38,1.38,2.25,
PRT,1310,BE,BE,1208,0.88,3.75,1.75,1,1.43
PRT,1308,CDS/PP,CDS; PP,1202,8.5,5.88,8.88,8.5,6.86
PRT,284,CDU,CDU,1201,0.88,2.38,5.12,0.62,0.86
PRT,3226,MPT / PT,MPT,1209,6.75,3.4,6.33,7,3
PRT,97,PAN,PAN,1250,3.43,4.17,4,3.83,2.8
PRT,310,PCP,PCP,1210,0.88,2.75,5.12,0.75,0.86
PRT,4513,PDR,,,,,,,
PRT,886,PEV,PEV,1211,1.14,3,4.88,1.29,1.17
PRT,1359,PPD/PSD,PPD; PSD,1206,6.38,6.75,7,6.5,6.29
PRT,655,PS,PS,1205,4.12,6.75,4.38,4,3.86
ROU,192,CDR,CDR 2000,2707,6.29,6.86,4.43,6.71,
ROU,2454,FDGR,FDGR,2708,5.29,6.43,4.29,6,4.67
ROU,3223,LRP,PLR,2712,6.13,5,6.25,6.13,6.07
ROU,1443,PC/PUR,PUR; PC,2702,5.53,5.35,7.94,5,5.25
ROU,1715,PD,PDL,2704,6.65,6.65,5.59,7.18,6.93
ROU,3210,PMP,PMP,2711,7.07,5.67,7.21,7.36,6.92
ROU,481,PNL,PNL,2705,7.07,6.27,6,7.25,6.81
ROU,2474,PP — DD,PP-DD,2710,4.36,4.53,8.62,2.54,3.45
ROU,1305,PRM,PRM,2703,5.63,3.7,9.45,2.1,1.74
ROU,7359,PROR,PRO,2714,4.29,5.4,6.54,4.53,4.14
ROU,120,PSD,PSD,2701,3.67,4,8.25,3.38,2.88
ROU,1105,UDMR/RMDS,UDMR,2706,5.87,6.06,6.06,5.69,5.73
ROU,1541,UNPR,UNPR,2709,3.43,5.59,7.64,3.57,4.23
ROU,5969,USR,USR,2713,6.47,6.75,2.62,6.5,6
SRB,2189,DS,,,,,,,
SRB,2190,DSS,,,,,,,
SRB,5665,Dveri,,,,,,,
SRB,2196,LDP,,,,,,,
SRB,4769,LSV,,,,,,,
SRB,2179,PUPS,,,,,,,
SRB,4771,SDPS,,,,,,,
SRB,4770,SDS,,,,,,,
SRB,3177,SNS,,,,,,,
SRB,2178,SPS,,,,,,,
SRB,2914,unknown,,,,,,,
SVK,2918,1-perc,Siet,2816,5.75,6.14,4,7.75,5.67
SVK,4015,ally,NOVA,2815,7.07,4.29,7.08,7.08,7
SVK,217,ANO,ANO,2806,6.71,6.57,3.54,7.5,
SVK,63,KDH,KDH,2805,6.62,5.19,8.06,6.19,5
SVK,340,KSS,KSS,2807,0.69,2.56,6.6,0.33,0.55
SVK,560,LS — HZDS,HZD,2810,4.23,5.54,6,3.91,
SVK,656,LsNS,Kotleba LSNS,2817,9.31,1.31,9.81,3.94,2.27
SVK,258,MH,Most,2813,5.2,6.67,4.81,5.75,5.13
SVK,2130,OLaNO,OLaNO,2814,6.57,4.75,6.79,6,5
SVK,7361,PS,PS,2819,3.81,6.87,1.5,5,4.31
SVK,129,PSNS,PSNS,2808,8.5,3.07,8.62,3.75,
SVK,1386,SaS,SaS,2812,7,4.12,3.19,8.12,8.5
SVK,1617,SDKU — DS,SDKU; SDKU-DS,2802,6.86,6.36,5.31,7.57,7.38
SVK,137,SF,SF,2811,5.73,5.62,2.75,6,5.62
SVK,311,Smer — SD,Smer; Smer-SD,2803,4.25,5.19,7.88,3.5,2.12
SVK,349,SMK-MKP,SMK; SMK-MKP,2804,5.92,6.07,7.14,5.54,4.09
SVK,730,SNS,SNS,2809,7.44,3.07,8.94,4.44,3.53
SVK,8177,Spolu,SPOLU,2820,5.33,6.88,3,6.12,5.69
SVK,4873,SR,Sme Rodina,2818,7.13,3.13,8.44,4.86,2.86
SVK,8394,Za,Za,2821,6,6.53,5,6.62,5.4
SVN,1302,AS,AS,2909,4.6,5.4,2.6,3.8,3
SVN,467,DeSUS,DeSUS,2906,3.77,5.53,5.07,3.29,2.79
SVN,975,LDS,LDS,2901,4.75,6.55,1.58,5.83,5.83
SVN,6132,LMS,LMS,2915,4.36,6,4.64,4.64,4.21
SVN,1773,LZJ — PS,PS,2914,3.38,6.08,3.46,4.15,4.73
SVN,1618,NSi,NSI,2905,7.5,6,8,7.36,6.07
SVN,1403,SD/ZLSD,ZLSD; SD,2903,2.57,6.47,2.53,3.07,2.71
SVN,472,SDS,SDS,2902,8.64,5.13,8.73,7.5,7
SVN,764,SLS,SLS-SKD; SLS,2904,6.46,6.08,7.08,6.31,5.7
SVN,3098,SMC,SMC,2911,4.79,6.53,4.07,5.14,4.5
SVN,1401,SMS,SMS,2908,4.4,5.2,3.2,4,
SVN,96,SNS,SNS,2907,8.71,2.67,8.47,6.31,6.83
SVN,3114,ZaAB / SAB,ZaAB,2913,4.21,6.36,3.33,4.36,3.5
SVN,474,Zares,Zares,2910,3.92,6.36,1.75,4.58,4.33
SVN,4714,ZdLe,ZL,2912,0.71,4.13,1,0.71,1.14
SWE,690,AV / H / HP / M,M,1605,7.71,6.06,5.94,7.71,7.19
SWE,199,B/C,C,1603,6.82,6.06,2.24,8,6.75
SWE,1240,Fi,FI,1612,1.81,3.16,0.81,1.71,1.38
SWE,1274,Fpl / L,FP,1604,6.53,6.88,3.24,7.12,6.25
SWE,1093,Jl,JL,1609,5.27,2.27,4.2,5.22,5.4
SWE,651,KD,KD,1606,7.82,5.82,7.06,7.24,6.31
SWE,456,MP,MP,1607,3.29,5.12,1.59,3.94,3
SWE,343,NyD,NyD,1608,9,5,6,8,
SWE,1485,PP,PIRAT,1611,5,3.71,1.24,5.25,5.17
SWE,487,S,SAP,1602,3.88,5.75,4.41,4.12,2.81
SWE,409,SD,SD,1610,8.47,2.24,8.76,5.59,4.69
SWE,830,V/SKP,V,1601,1.71,3.18,1.94,1.76,0.5
TUR,306,AKP,,,,,,,
TUR,1060,CHP,,,,,,,
TUR,6042,HDP,,,,,,,
TUR,6236,IYI,,,,,,,
TUR,1610,MHP,,,,,,,
UKR,4778,BPP,,,,,,,
