year,party_id,party,eu_position,eu_blur,lrgen,galtan,lrecon,redistribution
2019,550,PdeCat,5.133333206176758,3.3333333,6.666666507720947,5.866666793823242,6.866666793823242,6.214285850524902
2019,527,Vox,3.266666650772095,4.1666665,9.714285850524902,9.666666984558104,9.333333015441896,8.333333015441895
2019,511,ERC,5.533333301544189,2.5,3.200000047683716,2.866666555404663,3.400000095367432,3
1999,619,CPNT,2.333333253860474,NA,7.800000190734863,7.875,7.25,NA
1999,614,LO-LCR,1.285714268684387,NA,0.1428571492433548,6,0.2142857164144516,NA
1999,620,MN,1.333333373069763,NA,8.278571128845215,9.714285850524902,8.571428298950195,NA
1999,617,MEI,4,NA,4,3,5,NA
1999,618,D,4.5,NA,7.658333301544189,9,9,NA
2002,615,DL,5.92,NA,7.07,5.92,8.17,NA
2014,622,PRV,6,NA,6.142857074737549,5.857142925262451,6.5,6
2014,621,NC,6.181818008422852,NA,6.272727489471436,6.222222328186035,6.888888835906982,6.428571224212646
2014,624,PG,2.083333253860474,NA,1.700000047683716,2.400000095367432,1.111111164093018,0.699999988079071
2014,612,MPF,1.230769276618958,NA,9.100000381469728,8.909090995788574,8,7.142857074737549
2014,625,Ensemble,3.25,NA,2.5,3.5,2.333333253860474,2
2014,623,AC,6.599999904632568,NA,6.599999904632568,6.166666507720947,6.800000190734863,6
2014,603,PRG,5.846153736114502,NA,3.818181753158569,3.416666746139526,3.75,2.777777671813965
2019,613,MoDem,6.714285850524902,2.6666667,6.125,4.5,6.25,5.857142925262451
2019,601,PCF,3,4,1.125,3.75,1.125,0.5
2019,627,FI,2.875,4.75,1.25,3.125,0.875,0.625
2019,610,RN,1.375,2.5,9.75,8.125,6.875,4
2019,602,PS,6.125,4.25,3,2.75,3.125,2.25
2019,605,EELV,6.375,1.75,2.5,1.625,2.875,2.375
2019,626,LREM,6.833333492279053,1,6.333333492279053,3.166666746139526,6.333333492279053,5.833333492279053
2019,628,DLF,1.428571462631226,2.5,9,8.285714149475098,7,6.400000095367432
2019,609,LR,5.5,4,7.875,6.875,8.125,7.375
2006,706,PD,5.7,NA,8.1,4.11,8.5,7.329999923706055
2014,708,SP,2.222222328186035,NA,0.875,1.857142806053162,0.5,0.8571428656578064
2019,710,DS,5,3,3,2.833333253860474,2.333333253860474,2.833333253860474
2019,701,FF,6.142857074737549,3.5,5.428571224212646,5.714285850524902,5.428571224212646,4.857142925262451
2019,703,Lab,6.142857074737549,2.75,3.571428537368774,2.857142925262451,3.571428537368774,3.285714387893677
2019,711,I4C,3.666666746139526,4.6666665,3.25,3,2.75,3.75
2019,712,RI,3.200000047683716,9,8,7.800000190734863,7.599999904632568,7.75
2019,707,SF,3.714285612106323,5.5,2.571428537368774,4.428571224212646,2.142857074737549,2.285714387893677
2019,705,GP,5.857142925262451,3.75,3.142857074737549,2.142857074737549,3.142857074737549,3
2019,709,S-PBP,2,2.6666667,0.800000011920929,2,0.4000000059604645,1
2019,702,FG,6.285714149475098,2.5,5.857142925262451,4.285714149475098,6.428571224212646,5.857142925262451
1999,806,PRI,5.833333492279053,NA,5,5.166666507720947,5.800000190734863,NA
1999,821,MS,2.166666746139526,NA,9.666666984558104,9.600000381469728,5.166666507720947,NA
1999,817,UD,5,NA,5,5,5,NA
1999,822,PdUP,4.5,NA,2.16666674613953,3,1,NA
1999,824,PsDA,5.25,NA,4.199999809265137,6.25,3.666666746139526,NA
1999,820,LB,6.166666507720947,NA,4.599999904632568,0.6000000238418579,8.199999809265137,NA
1999,826,SEG,6,NA,6,4.599999904632568,6.400000095367432,NA
2002,825,RI,5.92,NA,5.23,5.83,5.77,NA
2002,818,CDU,6.23,NA,6,7.85,5.29,NA
2002,823,PPI,6.46,NA,4.42,5.38,4.21,NA
2006,835,NPSI,5.33,NA,5.43,3.57,5.67,5.199999809265137
2006,829,UDEUR,6.29,NA,5,7.75,4.29,3.670000076293945
2006,830,PP,4.6,NA,5.75,8,4.5,3.75
2006,807,SDI,6.43,NA,3.86,1.38,3.83,3
2006,819,DL,7,NA,4,5.13,4.43,3.329999923706055
2006,802,DS,6.88,NA,2.71,2.88,3,2.170000076293945
2006,832,MRE,7,NA,4.33,3.83,4.75,4.5
2010,808,VERDI,5.857142925262451,NA,1.75,0.75,2,2
2010,839,PSI,5.75,NA,4.142857074737549,1.5,3.333333492279053,2.75
2010,842,SD,5.75,NA,2.142857074737549,1.142857193946838,1.857142806053162,1
2010,836,PdCI,3.75,NA,0.7999999523162842,1.285714387893677,1,0.7142857313156128
2010,840,MpA,4.666666507720947,NA,6.285714149475098,6.833333492279053,4.5,3.25
